Squad,# Pl,Age,Poss,MP,Starts,Min,90s,GoalsScored,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Team,GoalsConceded
nl Ajax,27,24.4,53.9,8,88,720,8,8,5,13,6,2,2,13,1,1,0.62,1.62,0.75,1.37,Ajax,20
it Atalanta,25,26.9,48.5,12,132,"1,080",12,16,10,26,14,2,3,18,1,1.33,0.83,2.17,1.17,2,Atalanta,23
es Athletic Club,25,26.6,41.1,8,88,720,8,9,6,15,9,0,0,17,0,1.13,0.75,1.87,1.13,1.87,Athletic Club,14
es Atlético Madrid,26,27.5,49.4,16,176,"1,440",16,34,18,52,31,3,3,27,0,2.12,1.13,3.25,1.94,3.06,Atlético Madrid,27
es Barcelona,25,24.9,63.7,12,132,"1,080",12,31,23,54,27,4,4,23,3,2.58,1.92,4.5,2.25,4.17,Barcelona,18
de Bayern Munich,25,27.5,60.9,14,154,"1,260",14,42,33,75,38,4,5,27,2,3,2.36,5.36,2.71,5.07,Bayern Munich,19
pt Benfica,24,25.6,44.9,10,110,900,10,11,6,17,10,1,2,16,0,1.1,0.6,1.7,1,1.6,Benfica,14
no Bodø/Glimt,22,26.6,45.8,12,132,"1,110",12.3,22,14,36,20,2,4,17,1,1.78,1.14,2.92,1.62,2.76,Bodø/Glimt,21
be Club Brugge,26,24.4,47,10,110,900,10,19,14,33,19,0,0,12,0,1.9,1.4,3.3,1.9,3.3,Club Brugge,22
de Dortmund,22,26.1,53.6,10,110,900,10,22,17,39,20,2,4,15,3,2.2,1.7,3.9,2,3.7,Dortmund,20
de Eintracht Frankfurt,25,25.2,39.4,8,88,720,8,9,7,16,8,1,1,8,0,1.13,0.87,2,1,1.87,Eintracht Frankfurt,21
dk FC Copenhagen,22,26.2,39.8,8,88,720,8,11,6,17,10,1,2,19,1,1.37,0.75,2.12,1.25,2,FC Copenhagen,20
kz FC Kairat,25,26.1,43.1,8,88,720,8,7,5,12,6,1,1,16,0,0.87,0.62,1.5,0.75,1.37,FC Kairat,22
tr Galatasaray,23,28.2,50.3,12,132,"1,110",12.3,16,8,24,13,3,3,23,1,1.3,0.65,1.95,1.05,1.7,Galatasaray,19
it Inter,22,28.6,57.4,10,110,900,10,17,10,27,16,1,1,15,0,1.7,1,2.7,1.6,2.6,Inter,12
it Juventus,24,25.8,47.7,10,110,930,10.3,19,13,32,18,1,1,20,2,1.84,1.26,3.1,1.74,3,Juventus,17
de Leverkusen,26,26,52.3,12,132,"1,080",12,14,9,23,13,1,2,18,1,1.17,0.75,1.92,1.08,1.83,Leverkusen,17
fr Marseille,24,28.1,55.4,8,88,720,8,11,10,21,11,0,0,19,1,1.37,1.25,2.62,1.37,2.62,Marseille,13
fr Monaco,28,25.7,41.4,10,110,900,10,12,7,19,11,1,3,20,2,1.2,0.7,1.9,1.1,1.8,Monaco,17
it Napoli,24,28.4,51.6,8,88,720,8,8,7,15,8,0,1,12,2,1,0.87,1.87,1,1.87,Napoli,14
gr Olympiacos,24,27.4,43.1,10,110,900,10,10,9,19,9,1,1,18,1,1,0.9,1.9,0.9,1.8,Olympiacos,16
cy Pafos FC,20,29.5,37.1,8,88,720,8,7,4,11,7,0,0,14,2,0.87,0.5,1.37,0.87,1.37,Pafos FC,11
fr Paris Saint-Germain,23,24.4,63.6,17,187,"1,560",17.3,45,33,78,42,3,6,16,2,2.6,1.9,4.5,2.42,4.33,Paris Saint-Germain,23
nl PSV,21,25.8,51.8,8,88,720,8,15,12,27,14,1,1,20,2,1.87,1.5,3.38,1.75,3.25,PSV,16
es Real Madrid,30,25.3,53.6,14,154,"1,260",14,32,24,56,28,4,5,35,5,2.29,1.71,4,2,3.71,Real Madrid,20
cz Slavia Prague,23,25.8,46.5,8,88,720,8,4,4,8,4,0,0,15,1,0.5,0.5,1,0.5,1,Slavia Prague,18
pt Sporting CP,29,25,50.1,12,132,"1,110",12.3,21,15,36,19,2,3,24,0,1.7,1.22,2.92,1.54,2.76,Sporting CP,15
be Union SG,21,25.3,35.1,8,88,720,8,8,5,13,7,1,1,17,0,1,0.62,1.62,0.87,1.5,Union SG,17
es Villarreal,25,26.2,42.3,8,88,720,8,5,5,10,5,0,0,19,1,0.62,0.62,1.25,0.62,1.25,Villarreal,17
