Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
nl vs Ajax	27	26.7	46.1	8	88	720	8.0	20	14	34	16	4	4	12	0	2.50	1.75	4.25	2.00	3.75
eng vs Arsenal	29	26.5	48.9	15	165	1,380	15.3	7	3	10	4	3	3	24	0	0.46	0.20	0.65	0.26	0.46
it vs Atalanta	25	25.7	51.5	12	132	1,080	12.0	23	21	44	22	1	2	19	2	1.92	1.75	3.67	1.83	3.58
es vs Athletic Club	25	26.3	58.9	8	88	720	8.0	14	11	25	14	0	0	13	0	1.75	1.37	3.12	1.75	3.12
es vs Atlético Madrid	26	25.8	50.6	16	176	1,440	16.0	27	20	47	25	2	2	32	2	1.69	1.25	2.94	1.56	2.81
es vs Barcelona	25	26.2	36.3	12	132	1,080	12.0	18	16	34	17	1	1	24	1	1.50	1.33	2.83	1.42	2.75
de vs Bayern Munich	25	25.6	39.1	14	154	1,260	14.0	19	14	33	18	1	1	27	4	1.36	1.00	2.36	1.29	2.29
pt vs Benfica	24	25.8	55.1	10	110	900	10.0	14	12	26	14	0	0	24	3	1.40	1.20	2.60	1.40	2.60
no vs Bodø/Glimt	22	26.2	54.2	12	132	1,110	12.3	21	15	36	20	1	1	23	1	1.70	1.22	2.92	1.62	2.84
eng vs Chelsea	27	26.6	45.3	10	110	900	10.0	17	11	28	14	3	3	19	2	1.70	1.10	2.80	1.40	2.50
be vs Club Brugge	26	26.6	53.0	10	110	900	10.0	22	17	39	20	2	3	18	0	2.20	1.70	3.90	2.00	3.70
de vs Dortmund	22	26.4	46.4	10	110	900	10.0	20	12	32	19	1	1	13	2	2.00	1.20	3.20	1.90	3.10
de vs Eintracht Frankfurt	25	26.8	60.6	8	88	720	8.0	21	15	36	20	1	1	8	0	2.62	1.87	4.50	2.50	4.37
dk vs FC Copenhagen	22	26.0	60.3	8	88	720	8.0	20	14	34	18	2	3	17	1	2.50	1.75	4.25	2.25	4.00
kz vs FC Kairat	25	26.2	56.9	8	88	720	8.0	22	14	36	20	2	3	11	1	2.75	1.75	4.50	2.50	4.25
tr vs Galatasaray	23	26.0	49.8	12	132	1,110	12.3	19	14	33	18	1	3	26	2	1.54	1.14	2.68	1.46	2.59
it vs Inter	22	25.9	42.6	10	110	900	10.0	12	8	20	11	1	1	11	0	1.20	0.80	2.00	1.10	1.90
it vs Juventus	24	26.7	52.3	10	110	930	10.3	17	11	28	15	2	3	14	0	1.65	1.06	2.71	1.45	2.52
de vs Leverkusen	26	26.0	47.8	12	132	1,080	12.0	17	12	29	15	2	2	20	1	1.42	1.00	2.42	1.25	2.25
eng vs Liverpool	23	26.9	47.3	12	132	1,080	12.0	13	9	22	11	2	2	19	0	1.08	0.75	1.83	0.92	1.67

	
eng vs Manchester City	26	26.4	41.3	10	110	900	10.0	14	11	25	12	2	3	15	1	1.40	1.10	2.50	1.20	2.30
fr vs Marseille	24	25.8	44.6	8	88	720	8.0	13	8	21	11	2	3	19	1	1.62	1.00	2.62	1.37	2.37
fr vs Monaco	28	25.9	58.6	10	110	900	10.0	17	14	31	17	0	1	16	1	1.70	1.40	3.10	1.70	3.10
it vs Napoli	24	25.6	48.4	8	88	720	8.0	14	10	24	12	2	3	11	1	1.75	1.25	3.00	1.50	2.75
eng vs Newcastle United	25	25.8	50.9	12	132	1,080	12.0	17	12	29	15	2	4	25	0	1.42	1.00	2.42	1.25	2.25
gr vs Olympiacos	24	26.1	56.9	10	110	900	10.0	16	12	28	14	2	2	13	1	1.60	1.20	2.80	1.40	2.60
cy vs Pafos FC	20	26.5	62.9	8	88	720	8.0	11	7	18	11	0	0	15	1	1.37	0.87	2.25	1.37	2.25
fr vs Paris Saint-Germain	23	25.9	36.4	17	187	1,560	17.3	23	16	39	21	2	3	35	4	1.33	0.92	2.25	1.21	2.13
nl vs PSV	21	26.4	48.3	8	88	720	8.0	16	11	27	15	1	1	10	1	2.00	1.37	3.38	1.87	3.25
az vs Qarabağ	21	26.0	55.4	10	110	900	10.0	29	19	48	26	3	4	10	0	2.90	1.90	4.80	2.60	4.50
es vs Real Madrid	30	26.5	46.4	14	154	1,260	14.0	20	14	34	18	2	2	24	1	1.43	1.00	2.43	1.29	2.29
cz vs Slavia Prague	23	26.8	53.5	8	88	720	8.0	18	9	27	15	3	4	20	0	2.25	1.13	3.38	1.87	3.00
pt vs Sporting CP	29	26.5	49.9	12	132	1,110	12.3	15	11	26	14	1	1	25	1	1.22	0.89	2.11	1.14	2.03
eng vs Tottenham Hotspur	27	26.1	50.1	10	110	900	10.0	14	9	23	13	1	2	16	2	1.40	0.90	2.30	1.30	2.20
be vs Union SG	21	27.2	64.9	8	88	720	8.0	17	9	26	13	4	5	15	2	2.12	1.13	3.25	1.62	2.75
es vs Villarreal	25	26.0	57.8	8	88	720	8.0	17	11	28	17	0	2	15	0	2.12	1.37	3.50	2.12	3.50
