Team,GF,GA,GD,WinningScore
Bayern Munich,42.0,19.0,23.0,13.8
Paris Saint-Germain,45.0,23.0,22.0,13.2
Barcelona,31.0,18.0,13.0,7.800000000000001
Real Madrid,32.0,20.0,12.0,7.200000000000001
Atlético Madrid,34.0,27.0,7.0,4.200000000000001
Sporting CP,21.0,15.0,6.0,3.6000000000000005
Inter,17.0,12.0,5.0,3.0
Dortmund,22.0,20.0,2.0,1.2000000000000006
Juventus,19.0,17.0,2.0,1.1999999999999997
Bodø/Glimt,22.0,21.0,1.0,0.6000000000000003
PSV,15.0,16.0,-1.0,-0.6000000000000003
Marseille,11.0,13.0,-2.0,-1.1999999999999997
Club Brugge,19.0,22.0,-3.0,-1.8000000000000003
Leverkusen,14.0,17.0,-3.0,-1.8000000000000003
Galatasaray,16.0,19.0,-3.0,-1.8000000000000003
Benfica,11.0,14.0,-3.0,-1.8000000000000003
Pafos FC,7.0,11.0,-4.0,-2.4000000000000004
Monaco,12.0,17.0,-5.0,-3.0
Athletic Club,9.0,14.0,-5.0,-3.0000000000000004
Olympiacos,10.0,16.0,-6.0,-3.6000000000000005
Napoli,8.0,14.0,-6.0,-3.6000000000000005
Atalanta,16.0,23.0,-7.0,-4.200000000000001
FC Copenhagen,11.0,20.0,-9.0,-5.3999999999999995
Union SG,8.0,17.0,-9.0,-5.4
Ajax,8.0,20.0,-12.0,-7.2
Villarreal,5.0,17.0,-12.0,-7.200000000000001
Eintracht Frankfurt,9.0,21.0,-12.0,-7.200000000000001
Slavia Prague,4.0,18.0,-14.0,-8.4
FC Kairat,7.0,22.0,-15.0,-9.0
,,,,
